Service,num_cuad,perc_completed_corr_Pozo.BM,dpy_corr_Pozo.BM,productivity
Recorredores,2,1,32.4254874328358,0.999802584551398
Recorredores,3,1,32.4254874328358,0.999802584551398
Recorredores,4,1,32.4254874328358,0.999802584551398
Recorredores,5,1,32.4254874328358,0.999802584551398
Recorredores,6,1,32.4254874328358,0.999802584551398
Recorredores,7,1,32.4254874328358,0.999802584551398
Recorredores,8,1,32.4254874328358,0.999802584551398
Recorredores,9,1,32.4254874328358,0.999802584551398
Recorredores,10,1,32.4254874328358,0.999802584551398
Recorredores,11,1,32.4254874328358,0.999802584551398
Recorredores,12,1,32.4254874328358,0.999802584551398
Recorredores,1,1,37.7118244602656,0.999812145332701
Recorredores,2,1,36.7581958723151,0.999816895661906
Recorredores,3,1,36.7165292056484,0.999817103216908
Recorredores,4,1,36.6852792056484,0.99981725888316
Recorredores,5,1,36.6852792056484,0.99981725888316
Recorredores,6,1,36.6852792056484,0.99981725888316
Recorredores,7,1,36.6852792056484,0.99981725888316
